Slideshow Generator,Title,Running Cost,Cost per output,
EYFS Planner,Running Cost,Cost per output,Running Tokens,Token usage
1,2.13,0.06,"102,042","6,276"
2,2.18,0.05,"108,213","6,171"
,Average,0.055,,"6,224"
,,,,
Homework Generator,Running Cost,Cost per output,Running Tokens,Token usage
1,2.19,0.01,"109,772","1,559"
2,2.20,0.01,"111,478","1,706"
,Average,0.011,,"1,633"
,,,,
Inspection Prep,Running Cost,Cost per output,Running Tokens,Token usage
1,2.22,0.02,"114,738","3,260"
2,2.25,0.02,"118,559","3,821"
,Average,0.023,,"3,541"
,,,,
Learning Walk Report,Running Cost,Cost per output,Running Tokens,Token usage
1,2.25,0.01,"119,670","1,111"
2,2.27,0.01,"121,566","1,896"
,Average,0.009,,"1,504"
,,,,
Lesson Observation Report,Running Cost,Cost per output,Running Tokens,Token usage
1,2.28,0.01,"122,738","1,172"
2,2.29,0.01,"124,777","2,039"
,Average,0.011,,"1,606"
,,,,
Meeting Planner,Running Cost,Cost per output,Running Tokens,Token usage
1,2.30,0.01,"126,338","1,561"
2,2.32,0.01,"128,522","2,184"
3,2.33,0.01,"130,106","1,584"
4,2.34,0.01,"131,758","1,652"
,Average,0.012,,"1,745"
,,,,
Model Answer Generator,Running Cost,Cost per output,Running Tokens,Token usage
1,2.35,0.01,"133,721","1,963"
2,2.36,0.01,"135,882","2,161"
,Average,0.012,,"2,062"
,,,,
Model Text Generator,Running Cost,Cost per output,Running Tokens,Token usage
1,2.37,0.01,"137,237","1,355"
2,2.38,0.01,"138,920","1,683"
,Average,0.01,,"1,519"
,,,,
Newsletter Writer,Running Cost,Cost per output,Running Tokens,Token usage
1,2.39,0,"139,702","782"
2,2.39,0.01,"140,793","1,091"
,Average,0.006,,"937"
,,,,
Performance Management,Running Cost,Cost per output,Running Tokens,Token usage
1,2.40,0.01,"142,417","1,624"
2,2.41,0.01,"143,914","1,497"
,Average,0.011,,"1,561"
,,,,
Phonics Support,Running Cost,Cost per output,Running Tokens,Token usage
1,2.43,0.02,"147,279","3,365"
2,2.45,0.02,"150,459","3,180"
3,2.47,0.02,"153,827","3,368"
,Average,0.019,,"3,304"
,,,,
Policy Generator,Running Cost,Cost per output,Running Tokens,Token usage
1,2.48,0.01,"155,184","1,357"
2,2.49,0.01,"156,745","1,561"
,Average,0.01,,"1,459"
,,,,
Pupil Premium Planner,Running Cost,Cost per output,Running Tokens,Token usage
1,2.49,0,"157,608","863"
2,2.50,0.01,"159,189","1,581"
,Average,0.007,,"1,222"
,,,,
Quiz Generator,Running Cost,Cost per output,Running Tokens,Token usage
1,2.51,0,"159,874","685"
2,2.51,0.01,"160,926","1,052"
,Average,0.005,,"869"
,,,,
Report Writer,Running Cost,Cost per output,Running Tokens,Token usage
1,2.52,0,"161,704","778"
2,2.52,0,"162,762","1,058"
,Average,0.004,,"918"
,,,,
Risk Assessment,Running Cost,Cost per output,Running Tokens,Token usage
1,2.53,0.01,"164,288","1,526"
2,2.54,0.01,"165,936","1,648"
3,2.55,0.01,"167,344","1,408"
4,2.56,0.01,"169,054","1,710"
5,2.57,0.01,"170,461","1,407"
6,2.58,0.01,"172,212","1,751"
,Average,0.01,,"1,575"
,,,,
School Improvement Plan,Running Cost,Cost per output,Running Tokens,Token usage
1,2.59,0.02,"174,603","2,391"
2,2.61,0.02,"176,716","2,113"
3,2.63,0.02,"179,283","2,567"
,Average,0.017,,"2,357"
,,,,
Sensory Activities,Running Cost,Cost per output,Running Tokens,Token usage
1,2.65,0.02,"182,167","2,884"
2,2.67,0.02,"184,839","2,672"
,Average,0.021,,"2,778"
,,,,
Targeted Intervention,Running Cost,Cost per output,Running Tokens,Token usage
1,2.69,0.01,"186,320","1,481"
2,2.70,0.01,"187,940","1,620"
,Average,0.012,,"1,551"
,,,,
Topic Overview,Running Cost,Cost per output,Running Tokens,Token usage
1,2.71,0.01,"189,636","1,696"
2,2.73,0.02,"192,196","2,560"
,Average,0.015,,"2,128"
,,,,
--- END OF LOG ---
Total spend across every run above (text + audio + AI images),$2.73,,,
Total tokens across every run above (text generation only — images are not token-billed),,,"192,196",
Total generations logged,,,,"91 text-tool runs + 5 slideshow deck runs"
Note: slideshow "Cost per output" and running totals above use the real per-image cost (~$0.0455/image)
verified against an OpenAI billing console export, not the lower estimate ($0.015/image) originally
logged in the app's own cost tracking. See the main report for the full explanation.
